Name	Set	ImageFile	Element	Type	Archetype 1	Archetype 2	Cost	Attack	Defense	Effect
Aardvarum	TOURNAMENT_PACK_ONE	Aardvarum.png	Earth/Lunar	Elestral	Dryad	N/A	{Earth}{Lunar}	6	3	When you Cast this Aardvarum you can Search your deck for an {Insectoid} card and add it to your hand. You can target and destroy an {Insectoid} Elestral. If you do, you may Special Ascend this Aardvarum to Antitan from your hand or deck.
Abominursa	FROSTFALL	Abominursa.png	Frost	Elestral	Ursa	N/A	{Frost}	3	1	This Abominursa gets +2 {Attack} for each other (Ursa) Elestral on your field.
Aeromare	BASE_SET	Aeromare.png	Wind	Elestral	Ethereal	N/A	{Wind}	4	5	When you Ascend this Aeromare you can Cast it as an Artifact Empowering the Ascension with the effect "The Empowered Elestral cannot be targeted or destroyed by an opponent's Elestral effect."
Ampup	BASE_SET	Ampup.png	Thunder	Elestral	Brute	N/A	{Thunder}	2	3	You can Expend {Thunder} and discard this Ampup in order to Search your deck for up to 2 Ampup and add them to your hand.
Anocell	DAYBREAK	Anocell.png	Thunder/Solar	Elestral	Insectoid	Dragon	{Thunder}{Solar}	4	4	You can Expend {Solar}{Solar} in order to Special Ascend this Anocell to Phosvocell from your hand or deck. When you Cast a Rune with {Solar} you can Enchant {Thunder} from your Underworld to this Anocell.
Apheros	BASE_SET	Apheros.png	Water	Elestral	Aquatic	Ethereal	{Water}	2	4	You can Nexus up to {Water}{Water}. When you do, you can draw a card for each {Water} that a card receives this way.
Arcalith	DAYBREAK	Arcalith.png	Thunder	Elestral	Golem	N/A	{Thunder}{Thunder}	6	4	This Arcalith can be Normal Cast with {Thunder}{Thunder} if an opponent has at least 2 Elestrals in Attack Position. When you Cast this Arcalith you can Enchant up to {Thunder}{Thunder}{Thunder} to your field.
Arctaurus	FROSTFALL	Arctaurus.png	Frost	Elestral	Golem	Behemoth	{Frost}	3	2	You can Expend {Frost} in order to give this Arctaurus +3 {Attack} until the End Phase. This Arctaurus' effect can be activated up to 2 times on your turn.
Ashrabbit	DAYBREAK	Ashrabbit.png	Fire	Elestral	Ethereal	N/A	{Fire}	2	5	When this Ashrabbit receives 1 or more {Fire} you can target 3 cards in your Underworld, then an opponent chooses 1 of them. Return that card to your hand or Spirit Deck.
Astrabbit	BASE_SET	Astrabbit.png	Thunder	Elestral	Ethereal	N/A	{Thunder}	2	5	When this Astrabbit receives 1 or more {Thunder} you can look at the top 3 cards of your deck, then add 1 of them to your hand and shuffle the rest into your deck.
Barabib	DAYBREAK	Barabib.png	Earth	Elestral	Aquatic	Dryad	{Earth}	1	1	When you Cast an Invoke Rune with {Earth} your opponent must Expend {Omni}. This effect can be activated up to 4 times in a turn. When you Cast Mudslide you can Special Ascend this Barabib to Barabog from your hand or deck.
Barabog	BASE_SET	Barabog.png	Earth/Water	Elestral	Aquatic	Dryad	{Earth}{Water}	3	7	When an opponent Casts an Elestral or Rune without {Earth} or {Water} they must Expend {Omni}.
Blazerus	BASE_SET	Blazerus.png	Fire	Elestral	Eldritch	Behemoth	{Fire}{Fire}	7	2	This Blazerus can attack twice during your Battle Phase. When this Blazerus destroys 2 Elestrals in the same Battle Phase you can Special Ascend this Blazerus to Trifernal from your hand or deck.
Boombatt	BASE_SET	Boombatt.png	Thunder	Elestral	Eldritch	N/A	{Thunder}	2	1	You can Disenchant {Thunder} from this Boombatt in order to target and destroy an opponent's Elestral.
Boultuga	DAYBREAK	Boultuga.png	Earth	Elestral	Dryad	Golem	{Earth}	3	4	When you Normal Cast this Boultuga you can Expend {Earth} in order to Search your deck and/or Underworld for an Eruption and add it to your hand.
Brontoglow	FROSTFALL	Brontoglow.png	Thunder	Elestral	Dryad	N/A	{Thunder}{Thunder}	6	5	You can Disenchant {Thunder} from your Funglow in order to Suppress each Elestral on an opponent's field until the End Phase. When this Brontoglow destroys an Elestral in battle you can Special Cast a Funglow from your Underworld.
Brontowisp	DAYBREAK	Brontowisp.png	Fire/Lunar	Elestral	Dryad	Spectral	{Fire}{Lunar}	6	5	You can Disenchant {Fire} from your Fungyde in order to target and destroy a Rune. When an Elestral on your field is destroyed in battle you can Expend {Fire} in order to Special Cast a Fungyde from your Underworld.
Brumalynx	DAYBREAK	Brumalynx.png	Frost	Elestral	Brute	N/A	{Frost}	3	5	You can Nexus up to {Frost}{Frost}. When you do, you can target a non-Stadium Rune. If it is face-up, turn it face-down. That Rune cannot be Cast as long as this Brumalynx is Enchanted. (Its Enchanting Spirits are sent to the Underworld.)
Bubbloon	FROSTFALL	Bubbloon.png	Water	Elestral	Aquatic	N/A	{Water}	1	3	{Water}-Enchanted Elestrals get +2 {Attack} and +2 {Defense}.
Caprefume	FROSTFALL	Caprefume.png	Fire	Elestral	Ethereal	N/A	{Fire}{Fire}	5	4	This Caprefume gets +2 {Attack} for each {Fire} Elestral on the field. You can Expend {Fire} in order to Special Cast a 1 Spirit {Fire} Elestral from your hand.
Capregal	BASE_SET	Capregal.png	Water	Elestral	Oceanic	Ethereal	{Water}{Water}	7	4	When this Capregal destroys an Elestral in battle you can Special Cast an Elestral with Enchantment Cost {Water} from your Underworld in Defense Position.
Carryon	BASE_SET	Carryon.png	Wind	Elestral	Insectoid	Eldritch	{Wind}	3	3	When this Carryon is destroyed in battle you can target the Elestral that destroyed it, then take control of that Elestral and move it to your Elestral Row until the End Phase.
Catarant	FROSTFALL	Catarant.png	Frost	Elestral	Brute	N/A	{Frost}	3	1	When this Catarant receives 1 or more {Frost} you can return up to {Frost}{Frost} from your Underworld to your Spirit Deck.
Celestleo	DAYBREAK	Celestleo.png	Solar	Elestral	Behemoth	Ethereal	{Solar}{Solar}{Solar}	13	10	You can Foretell 4 and add each {Solar} Elestral Foretold this way to your hand. Then you may destroy cards on the field up to the number of cards added to your hand this way.
Centaurbor	BASE_SET	Centaurbor.png	Earth	Elestral	Dryad	Behemoth	{Earth}{Earth}{Earth}	11	15	You can Disenchant {Earth} from this Centaurbor in order to target and destroy a card. As long as Foloi Forest is Enchanted this Centaurbor cannot be targeted by Invoke Runes.
Charcoon	FROSTFALL	Charcoon.png	Wind/Fire	Elestral	Insectoid	N/A	{Wind}{Fire}	1	6	(This card always counts as Cirrucoon.) During your Draw Phase you can Special Ascend this Charcoon to Flammamoth from your hand or deck if you have at least 3 Enchanting {Fire} on your field.
Chillalotl	FROSTFALL	Chillalotl.png	Frost	Elestral	Ethereal	N/A	{Frost}	2	3	When you Cast this Chillalotl you can target up to 2 face-down Runes. As long as this Chillalotl is Enchanted, those Runes cannot be Cast.
Chronodile	DAYBREAK	Chronodile.png	Water/Solar	Elestral	Aquatic	Ethereal	{Water}{Water}{Solar}	8	14	You can Disenchant {Water} from this Chronodile in order to target and destroy a card. While you have at least 6 Enchanting {Water}/{Solar} this Chronodile cannot be targeted by opponents' card effects.
